,300,500,800
192,0.5447,0.4741,0.4649
193,0.5413,0.4717,0.4631
194,0.5387,0.4691,0.4611
195,0.5361,0.4659,0.4591
196,0.5331,0.463,0.458
197,0.5303,0.4611,0.4553
198,0.5274,0.4584,0.4527
199,0.5245,0.4556,0.45
200,0.5208,0.4528,0.4479
201,0.5177,0.4503,0.4459
202,0.5143,0.4471,0.4432
203,0.5109,0.4441,0.4404
204,0.5078,0.442,0.4376
205,0.5054,0.4398,0.436
206,0.503,0.4373,0.4338
207,0.5004,0.4343,0.4315
208,0.4959,0.4323,0.4292
209,0.4933,0.4294,0.4265
210,0.4906,0.427,0.4231
211,0.4876,0.4248,0.421
212,0.4855,0.423,0.419
213,0.4821,0.421,0.4164
214,0.479,0.4184,0.4137
215,0.4765,0.4159,0.4104
216,0.4742,0.4138,0.408
217,0.4714,0.4112,0.4051
218,0.4686,0.4091,0.4025
219,0.4655,0.4074,0.4003
220,0.4625,0.4061,0.3975
221,0.4601,0.4032,0.3955
222,0.4574,0.4012,0.3937
223,0.4545,0.3986,0.3909
224,0.4509,0.396,0.3892
225,0.448,0.3936,0.3876
226,0.4453,0.3918,0.3853
227,0.4418,0.3901,0.3834
228,0.4387,0.3876,0.3813
229,0.4363,0.385,0.3793
230,0.4325,0.3816,0.3773
231,0.4298,0.3789,0.3757
232,0.428,0.3764,0.3739
233,0.4253,0.3731,0.3721
234,0.423,0.3712,0.3696
235,0.4198,0.3695,0.3675
236,0.4173,0.3671,0.365
237,0.4149,0.3648,0.3627
238,0.4126,0.3632,0.3603
239,0.4103,0.3607,0.3591
240,0.4082,0.3588,0.3575
241,0.4064,0.3564,0.3553
242,0.4034,0.3546,0.3533
243,0.4008,0.3519,0.3508
244,0.3988,0.3499,0.3484
245,0.397,0.3477,0.3463
246,0.3941,0.3456,0.344
247,0.3925,0.3445,0.3417
248,0.3905,0.3425,0.3395
249,0.3889,0.3409,0.3369
250,0.3866,0.3383,0.335
251,0.3841,0.3367,0.3331
252,0.382,0.3347,0.331
253,0.3793,0.333,0.3286
254,0.3781,0.3315,0.3266
255,0.3757,0.3291,0.3241
256,0.3732,0.3275,0.3227
257,0.371,0.3256,0.3203
258,0.3695,0.3239,0.3184
259,0.3661,0.322,0.3157
260,0.3635,0.3205,0.3141
261,0.3616,0.3195,0.3123
262,0.36,0.3184,0.3107
263,0.357,0.316,0.3087
264,0.3553,0.3134,0.3073
265,0.3532,0.311,0.3056
266,0.3516,0.3091,0.3041
267,0.3499,0.3069,0.3029
268,0.3486,0.3043,0.3004
269,0.3461,0.303,0.2982
270,0.3438,0.3009,0.2967
271,0.3415,0.2983,0.2944
272,0.3386,0.2958,0.2927
273,0.3365,0.2944,0.2903
274,0.334,0.293,0.2886
275,0.3316,0.2915,0.2874
276,0.3296,0.2892,0.2857
277,0.3278,0.2864,0.2845
278,0.3259,0.2843,0.2826
279,0.324,0.282,0.2805
280,0.3216,0.2796,0.2792
281,0.3188,0.2776,0.2777
282,0.317,0.2758,0.2759
283,0.3148,0.2748,0.2734
284,0.3135,0.2732,0.2721
285,0.3108,0.2715,0.2705
286,0.3087,0.2699,0.2683
287,0.307,0.2679,0.2667
288,0.305,0.2656,0.2654
289,0.3026,0.2642,0.2637
290,0.3004,0.2631,0.2623
291,0.2979,0.2609,0.2612
292,0.2966,0.2591,0.2588
293,0.2947,0.2572,0.2574
294,0.2923,0.256,0.256
295,0.2898,0.2545,0.2544
296,0.2879,0.2524,0.2528
297,0.2858,0.251,0.2515
298,0.2844,0.249,0.2501
299,0.2828,0.2475,0.2493
300,0.2808,0.2459,0.2474
301,0.2791,0.2447,0.2458
302,0.2775,0.2426,0.2449
303,0.276,0.241,0.2432
304,0.2738,0.24,0.2417
305,0.272,0.239,0.2403
306,0.2707,0.2373,0.2392
307,0.2687,0.2358,0.2365
308,0.2669,0.234,0.2353
309,0.2649,0.2321,0.2335
310,0.2631,0.231,0.2317
311,0.261,0.2296,0.2306
312,0.2589,0.2273,0.2291
313,0.2574,0.2258,0.2275
314,0.2553,0.2239,0.2256
315,0.2534,0.2229,0.224
316,0.2521,0.2213,0.2217
317,0.2502,0.22,0.2204
318,0.2485,0.2187,0.2191
319,0.247,0.2166,0.2173
320,0.2448,0.2155,0.2149
321,0.243,0.2145,0.2131
322,0.2412,0.2132,0.2119
323,0.2404,0.2116,0.2102
324,0.2386,0.2099,0.2086
325,0.2373,0.208,0.2071
326,0.2352,0.2064,0.2053
327,0.2329,0.2053,0.2039
328,0.2307,0.2034,0.2024
329,0.2286,0.2023,0.2012
330,0.2276,0.2013,0.1999
331,0.2262,0.1995,0.1983
332,0.2242,0.1981,0.1966
333,0.2224,0.1961,0.1948
334,0.2208,0.1945,0.1937
335,0.2185,0.1931,0.1926
336,0.216,0.1913,0.1909
337,0.2147,0.1897,0.1897
338,0.2128,0.1889,0.1886
339,0.2111,0.1875,0.1869
340,0.2097,0.1863,0.1855
341,0.2086,0.1855,0.1841
342,0.2069,0.1841,0.1827
343,0.2059,0.1824,0.1815
344,0.2048,0.1804,0.1807
345,0.2033,0.1793,0.1785
346,0.2018,0.1785,0.1773
347,0.2006,0.1777,0.1762
348,0.1986,0.1767,0.1751
