,300,500,800
192,0.0265,0.03,0.0274
193,0.0255,0.0289,0.0264
194,0.0241,0.0282,0.0252
195,0.0228,0.0273,0.0243
196,0.0217,0.0265,0.0234
197,0.0211,0.0256,0.0221
198,0.0202,0.0245,0.0214
199,0.0189,0.0234,0.0209
200,0.0182,0.0223,0.0199
201,0.0179,0.0214,0.0189
202,0.0172,0.0205,0.0182
203,0.0167,0.0198,0.0176
204,0.0159,0.0195,0.0172
205,0.0154,0.0185,0.0167
206,0.0147,0.0178,0.016
207,0.0139,0.0171,0.0155
208,0.0131,0.0164,0.0146
209,0.0131,0.0158,0.0141
210,0.0122,0.0153,0.0132
211,0.0111,0.0147,0.0128
212,0.0108,0.0144,0.012
213,0.0103,0.0139,0.0111
214,0.0095,0.0136,0.0106
215,0.0093,0.0132,0.0104
216,0.0089,0.0126,0.01
217,0.0088,0.0123,0.0095
218,0.0085,0.0121,0.0087
219,0.0083,0.0113,0.0086
220,0.0078,0.0107,0.008
221,0.0077,0.0103,0.0076
222,0.0075,0.0097,0.0074
223,0.0073,0.0092,0.0072
224,0.0072,0.0085,0.0068
225,0.0066,0.0081,0.0062
226,0.0058,0.0077,0.0061
227,0.0056,0.0074,0.0061
228,0.0052,0.0072,0.0058
229,0.0051,0.0069,0.0056
230,0.0048,0.0063,0.0052
231,0.0046,0.0059,0.0049
232,0.0044,0.0056,0.0047
233,0.0042,0.0052,0.0044
234,0.004,0.0051,0.0044
235,0.0038,0.0047,0.0044
236,0.0036,0.0045,0.0042
237,0.0034,0.0043,0.004
238,0.0034,0.0037,0.0038
239,0.0032,0.0034,0.0038
240,0.0029,0.0033,0.0038
241,0.0028,0.0032,0.0038
242,0.0026,0.0028,0.0038
243,0.0025,0.0027,0.0037
244,0.0022,0.0027,0.0037
245,0.0021,0.0025,0.0035
246,0.0019,0.0025,0.0035
247,0.0017,0.0025,0.0033
248,0.0017,0.0023,0.003
249,0.0017,0.0021,0.003
250,0.0014,0.0021,0.003
251,0.0014,0.002,0.0029
252,0.0014,0.002,0.0028
253,0.0014,0.002,0.0028
254,0.0013,0.0019,0.0027
255,0.0013,0.0018,0.0026
256,0.0011,0.0018,0.0022
257,0.001,0.0018,0.0021
258,0.001,0.0018,0.002
259,0.001,0.0017,0.002
260,0.0008,0.0017,0.0018
261,0.0008,0.0017,0.0016
262,0.0007,0.0015,0.0012
263,0.0006,0.0015,0.0012
264,0.0006,0.0013,0.0011
265,0.0006,0.0012,0.0011
266,0.0006,0.0012,0.0011
267,0.0006,0.0012,0.001
268,0.0006,0.0012,0.001
269,0.0006,0.0012,0.001
270,0.0006,0.0011,0.001
271,0.0006,0.0011,0.001
272,0.0006,0.001,0.001
273,0.0006,0.001,0.001
274,0.0006,0.001,0.001
275,0.0005,0.0007,0.0009
276,0.0005,0.0007,0.0008
277,0.0005,0.0007,0.0008
278,0.0005,0.0007,0.0007
279,0.0005,0.0007,0.0007
280,0.0005,0.0007,0.0007
281,0.0005,0.0007,0.0007
282,0.0005,0.0007,0.0005
283,0.0004,0.0006,0.0005
284,0.0002,0.0006,0.0005
285,0.0002,0.0006,0.0005
286,0.0002,0.0005,0.0005
287,0.0002,0.0005,0.0005
288,0.0002,0.0005,0.0005
289,0.0002,0.0004,0.0005
290,0.0002,0.0004,0.0004
291,0.0002,0.0004,0.0004
292,0.0002,0.0004,0.0004
293,0.0002,0.0004,0.0004
294,0.0002,0.0004,0.0004
295,0.0001,0.0004,0.0004
296,0.0001,0.0004,0.0004
297,0.0001,0.0004,0.0004
298,0.0001,0.0004,0.0004
299,0.0001,0.0003,0.0004
300,0.0001,0.0003,0.0004
301,0.0001,0.0003,0.0004
302,0.0001,0.0003,0.0004
303,0.0001,0.0003,0.0004
304,0.0001,0.0003,0.0004
305,0.0001,0.0003,0.0003
306,0.0001,0.0003,0.0003
307,0.0001,0.0003,0.0003
308,0.0001,0.0003,0.0003
309,0.0001,0.0003,0.0003
310,0.0001,0.0003,0.0002
311,0.0001,0.0003,0.0002
312,0.0001,0.0003,0.0002
313,0.0001,0.0003,0.0002
314,0.0001,0.0003,0.0002
315,0.0001,0.0003,0.0002
316,0.0001,0.0003,0.0002
317,0.0001,0.0003,0.0002
318,0.0001,0.0003,0.0002
319,0.0001,0.0003,0.0002
320,0.0001,0.0002,0.0002
321,0.0001,0.0002,0.0002
322,0.0001,0.0002,0.0002
323,0.0,0.0002,0.0002
324,0.0,0.0001,0.0002
325,0.0,0.0001,0.0002
326,0.0,0.0001,0.0001
327,0.0,0.0001,0.0001
328,0.0,0.0001,0.0001
329,0.0,0.0001,0.0001
330,0.0,0.0001,0.0001
331,0.0,0.0001,0.0001
332,0.0,0.0001,0.0001
333,0.0,0.0001,0.0001
334,0.0,0.0001,0.0001
335,0.0,0.0,0.0001
336,0.0,0.0,0.0001
337,0.0,0.0,0.0001
338,0.0,0.0,0.0001
339,0.0,0.0,0.0001
340,0.0,0.0,0.0001
341,0.0,0.0,0.0001
342,0.0,0.0,0.0001
343,0.0,0.0,0.0001
344,0.0,0.0,0.0001
345,0.0,0.0,0.0001
346,0.0,0.0,0.0001
347,0.0,0.0,0.0
348,0.0,0.0,0.0
349,0.0,0.0,0.0
350,0.0,0.0,0.0
351,0.0,0.0,0.0
352,0.0,0.0,0.0
353,0.0,0.0,0.0
354,0.0,0.0,0.0
355,0.0,0.0,0.0
356,0.0,0.0,0.0
357,0.0,0.0,0.0
358,0.0,0.0,0.0
359,0.0,0.0,0.0
360,0.0,0.0,0.0
361,0.0,0.0,0.0
362,0.0,0.0,0.0
363,0.0,0.0,0.0
364,0.0,0.0,0.0
365,0.0,0.0,0.0
366,0.0,0.0,0.0
367,0.0,0.0,0.0
368,0.0,0.0,0.0
369,0.0,0.0,0.0
370,0.0,0.0,0.0
371,0.0,0.0,0.0
372,0.0,0.0,0.0
373,0.0,0.0,0.0
374,0.0,0.0,0.0
375,0.0,0.0,0.0
376,0.0,0.0,0.0
377,0.0,0.0,0.0
378,0.0,0.0,0.0
379,0.0,0.0,0.0
380,0.0,0.0,0.0
381,0.0,0.0,0.0
382,0.0,0.0,0.0
383,0.0,0.0,0.0
384,0.0,0.0,0.0
385,0.0,0.0,0.0
386,0.0,0.0,0.0
387,0.0,0.0,0.0
388,0.0,0.0,0.0
389,0.0,0.0,0.0
390,0.0,0.0,0.0
391,0.0,0.0,0.0
392,0.0,0.0,0.0
393,0.0,0.0,0.0
394,0.0,0.0,0.0
395,0.0,0.0,0.0
396,0.0,0.0,0.0
397,0.0,0.0,0.0
398,0.0,0.0,0.0
399,0.0,0.0,0.0
400,0.0,0.0,0.0
401,0.0,0.0,0.0
402,0.0,0.0,0.0
403,0.0,0.0,0.0
404,0.0,0.0,0.0
405,0.0,0.0,0.0
406,0.0,0.0,0.0
407,0.0,0.0,0.0
408,0.0,0.0,0.0
409,0.0,0.0,0.0
410,0.0,0.0,0.0
411,0.0,0.0,0.0
412,0.0,0.0,0.0
413,0.0,0.0,0.0
414,0.0,0.0,0.0
415,0.0,0.0,0.0
416,0.0,0.0,0.0
417,0.0,0.0,0.0
418,0.0,0.0,0.0
419,0.0,0.0,0.0
420,0.0,0.0,0.0
421,0.0,0.0,0.0
422,0.0,0.0,0.0
423,0.0,0.0,0.0
424,0.0,0.0,0.0
425,0.0,0.0,0.0
426,0.0,0.0,0.0
427,0.0,0.0,0.0
428,0.0,0.0,0.0
429,0.0,0.0,0.0
430,0.0,0.0,0.0
431,0.0,0.0,0.0
432,0.0,0.0,0.0
433,0.0,0.0,0.0
434,0.0,0.0,0.0
435,0.0,0.0,0.0
436,0.0,0.0,0.0
437,0.0,0.0,0.0
438,0.0,0.0,0.0
439,0.0,0.0,0.0
440,0.0,0.0,0.0
441,0.0,0.0,0.0
442,0.0,0.0,0.0
443,0.0,0.0,0.0
444,0.0,0.0,0.0
445,0.0,0.0,0.0
446,0.0,0.0,0.0
447,0.0,0.0,0.0
448,0.0,0.0,0.0
449,0.0,0.0,0.0
450,0.0,0.0,0.0
451,0.0,0.0,0.0
452,0.0,0.0,0.0
453,0.0,0.0,0.0
454,0.0,0.0,0.0
455,0.0,0.0,0.0
456,0.0,0.0,0.0
457,0.0,0.0,0.0
458,0.0,0.0,0.0
459,0.0,0.0,0.0
460,0.0,0.0,0.0
461,0.0,0.0,0.0
462,0.0,0.0,0.0
463,0.0,0.0,0.0
464,0.0,0.0,0.0
465,0.0,0.0,0.0
466,0.0,0.0,0.0
467,0.0,0.0,0.0
468,0.0,0.0,0.0
469,0.0,0.0,0.0
470,0.0,0.0,0.0
471,0.0,0.0,0.0
472,0.0,0.0,0.0
473,0.0,0.0,0.0
474,0.0,0.0,0.0
475,0.0,0.0,0.0
476,0.0,0.0,0.0
477,0.0,0.0,0.0
478,0.0,0.0,0.0
479,0.0,0.0,0.0
480,0.0,0.0,0.0
481,0.0,0.0,0.0
482,0.0,0.0,0.0
483,0.0,0.0,0.0
484,0.0,0.0,0.0
485,0.0,0.0,0.0
486,0.0,0.0,0.0
487,0.0,0.0,0.0
488,0.0,0.0,0.0
489,0.0,0.0,0.0
490,0.0,0.0,0.0
491,0.0,0.0,0.0
492,0.0,0.0,0.0
493,0.0,0.0,0.0
494,0.0,0.0,0.0
495,0.0,0.0,0.0
496,0.0,0.0,0.0
497,0.0,0.0,0.0
498,0.0,0.0,0.0
499,0.0,0.0,0.0
500,0.0,0.0,0.0
