,300,500,800
192,0.6092,0.6109,0.6064
193,0.6044,0.6066,0.6025
194,0.5992,0.603,0.5989
195,0.5935,0.597,0.5953
196,0.5887,0.5919,0.5912
197,0.5831,0.5867,0.5866
198,0.5786,0.5806,0.5822
199,0.5734,0.576,0.5763
200,0.5686,0.5706,0.572
201,0.5633,0.5657,0.5681
202,0.5583,0.5617,0.5638
203,0.5552,0.5573,0.559
204,0.5506,0.5523,0.5545
205,0.5456,0.5465,0.5481
206,0.5402,0.5423,0.5432
207,0.5352,0.5383,0.5387
208,0.5311,0.5339,0.5329
209,0.5264,0.5304,0.5284
210,0.5211,0.5269,0.5235
211,0.5174,0.523,0.5181
212,0.5134,0.5187,0.5148
213,0.5085,0.5123,0.5102
214,0.504,0.5076,0.5059
215,0.5007,0.5035,0.5018
216,0.495,0.4987,0.4971
217,0.491,0.4936,0.4917
218,0.4864,0.4874,0.4878
219,0.4819,0.4833,0.4823
220,0.4775,0.4782,0.4774
221,0.4731,0.4733,0.4726
222,0.4673,0.4692,0.4681
223,0.4626,0.4637,0.4631
224,0.4576,0.4597,0.4571
225,0.4528,0.4548,0.4533
226,0.4479,0.4504,0.4477
227,0.4429,0.4462,0.4436
228,0.4374,0.4424,0.4392
229,0.4338,0.4365,0.435
230,0.4298,0.4316,0.4305
231,0.4259,0.4268,0.4257
232,0.4207,0.4216,0.421
233,0.4165,0.4172,0.417
234,0.4124,0.4132,0.411
235,0.4083,0.4078,0.4073
236,0.4035,0.4031,0.4026
237,0.3983,0.3994,0.3979
238,0.3939,0.394,0.3937
239,0.3884,0.3905,0.3888
240,0.3847,0.3859,0.3848
241,0.3806,0.3813,0.38
242,0.3764,0.3759,0.3769
243,0.3715,0.3726,0.3732
244,0.3672,0.3689,0.3689
245,0.3624,0.3651,0.3644
246,0.3591,0.3621,0.361
247,0.3552,0.358,0.3572
248,0.352,0.3523,0.3537
249,0.3478,0.3485,0.3504
250,0.344,0.3452,0.3463
251,0.3403,0.3414,0.3418
252,0.3365,0.3363,0.3373
253,0.3331,0.3306,0.3322
254,0.3298,0.3277,0.3289
255,0.3262,0.3238,0.3245
256,0.3227,0.3207,0.3214
257,0.319,0.3159,0.3168
258,0.3138,0.3126,0.313
259,0.3095,0.3102,0.3104
260,0.3059,0.3063,0.307
261,0.3014,0.3028,0.3042
262,0.2972,0.2988,0.2992
263,0.2943,0.2956,0.2943
264,0.2906,0.2929,0.2905
265,0.2874,0.2893,0.286
266,0.2839,0.2857,0.2812
267,0.2809,0.283,0.2776
268,0.2772,0.2794,0.2742
269,0.2734,0.2752,0.271
270,0.2697,0.2718,0.2661
271,0.2652,0.2672,0.2624
272,0.261,0.2641,0.2591
273,0.2586,0.261,0.2547
274,0.2557,0.2587,0.2515
275,0.2525,0.2552,0.2478
276,0.2491,0.2517,0.2435
277,0.2463,0.2485,0.2407
278,0.2432,0.2447,0.2377
279,0.24,0.242,0.2343
280,0.2369,0.239,0.231
281,0.2338,0.2356,0.2283
282,0.2315,0.2326,0.2251
283,0.2279,0.2288,0.2222
284,0.2239,0.2257,0.2188
285,0.2202,0.2219,0.2165
286,0.2181,0.2185,0.2137
287,0.214,0.2157,0.2108
288,0.2118,0.2125,0.2071
289,0.2089,0.2085,0.2044
290,0.2058,0.2052,0.2009
291,0.2035,0.2021,0.1986
292,0.1996,0.1989,0.1965
293,0.1961,0.1954,0.1933
294,0.1934,0.1912,0.1905
295,0.1897,0.1885,0.1878
296,0.1876,0.1856,0.1858
297,0.1847,0.1826,0.1825
298,0.1815,0.1797,0.1794
299,0.1788,0.1766,0.1769
300,0.1756,0.1747,0.1742
301,0.1731,0.1716,0.1717
302,0.1713,0.1694,0.169
303,0.1687,0.1673,0.1666
304,0.166,0.1645,0.1644
305,0.1626,0.1614,0.1624
306,0.1601,0.1585,0.1595
307,0.1569,0.1553,0.1569
308,0.1535,0.1524,0.1542
309,0.151,0.1491,0.1509
310,0.1488,0.147,0.1487
311,0.1464,0.1448,0.1466
312,0.1447,0.1429,0.1443
313,0.1419,0.1404,0.1416
314,0.1396,0.1379,0.14
315,0.1364,0.1354,0.1377
316,0.1345,0.1331,0.1354
317,0.132,0.1306,0.1344
318,0.1294,0.1277,0.1325
319,0.127,0.126,0.1304
320,0.1245,0.1233,0.1282
321,0.1215,0.1219,0.1263
322,0.119,0.1201,0.1237
323,0.1167,0.1183,0.1222
324,0.1142,0.1167,0.1203
325,0.1112,0.1151,0.1188
326,0.1095,0.1126,0.1167
327,0.1069,0.1116,0.1153
328,0.1053,0.1093,0.1134
329,0.1035,0.1079,0.1115
330,0.1014,0.1061,0.1087
331,0.0993,0.104,0.1072
332,0.0966,0.1019,0.1058
333,0.0948,0.0998,0.1035
334,0.0931,0.0987,0.1027
335,0.0916,0.096,0.1004
336,0.0902,0.0947,0.0981
337,0.0887,0.0933,0.0966
338,0.0873,0.0918,0.0942
339,0.0854,0.0902,0.0928
340,0.083,0.0887,0.0907
341,0.0814,0.0867,0.0894
342,0.0796,0.0847,0.0874
343,0.0779,0.0838,0.0857
344,0.0766,0.082,0.0835
345,0.0756,0.0802,0.0815
346,0.0744,0.0779,0.08
347,0.073,0.077,0.0789
348,0.0722,0.0758,0.0776
349,0.0714,0.0745,0.0762
350,0.0697,0.0732,0.0747
351,0.0683,0.0714,0.0732
352,0.0672,0.0698,0.0725
353,0.0663,0.0681,0.0715
354,0.0652,0.0677,0.0704
355,0.0637,0.066,0.0686
356,0.0617,0.0648,0.0676
357,0.0604,0.0637,0.0666
358,0.0594,0.0626,0.0654
359,0.0584,0.0618,0.0642
360,0.0577,0.0607,0.0629
361,0.0561,0.0595,0.0619
362,0.0549,0.0584,0.0603
363,0.0534,0.0564,0.0594
364,0.0528,0.0552,0.0584
365,0.0514,0.0538,0.0572
366,0.05,0.053,0.0561
367,0.0491,0.0523,0.0553
368,0.0478,0.0512,0.0546
369,0.0467,0.05,0.0535
370,0.0455,0.0487,0.0527
371,0.044,0.0481,0.0516
372,0.0426,0.0472,0.0506
373,0.0416,0.0468,0.0498
374,0.0407,0.0457,0.0489
375,0.0396,0.0452,0.0475
376,0.0386,0.0441,0.0463
377,0.0383,0.043,0.0452
378,0.0377,0.0421,0.0447
379,0.0366,0.0408,0.044
380,0.036,0.0401,0.0433
381,0.035,0.0396,0.0426
382,0.0339,0.0386,0.0423
383,0.033,0.0378,0.0415
384,0.0325,0.0369,0.0403
385,0.0316,0.0365,0.0391
386,0.0306,0.0358,0.0381
387,0.0301,0.0354,0.0375
388,0.0294,0.034,0.0368
389,0.029,0.0327,0.0354
390,0.0285,0.0322,0.0345
391,0.0278,0.0318,0.0333
392,0.0271,0.0315,0.0327
393,0.0266,0.0307,0.0322
394,0.026,0.0301,0.0321
395,0.0256,0.0293,0.0315
396,0.025,0.0287,0.0307
397,0.0243,0.0281,0.0303
398,0.024,0.0274,0.0295
399,0.0232,0.0268,0.029
400,0.0228,0.026,0.0285
401,0.0225,0.0255,0.0282
402,0.0222,0.025,0.0276
403,0.0218,0.0244,0.027
404,0.0213,0.024,0.0262
405,0.0204,0.0237,0.0256
406,0.0198,0.0235,0.0253
