,300,500,800
190,0.5608,0.4853,0.4724
191,0.5576,0.4828,0.4695
192,0.5541,0.4802,0.467
193,0.5504,0.478,0.4645
194,0.5482,0.4754,0.4619
195,0.5441,0.4726,0.4599
196,0.5419,0.4696,0.4578
197,0.5399,0.4667,0.455
198,0.5364,0.4644,0.453
199,0.5339,0.4622,0.4503
200,0.5304,0.4591,0.4473
201,0.5278,0.4576,0.4438
202,0.5252,0.4555,0.4418
203,0.5222,0.4526,0.4388
204,0.5198,0.4505,0.4365
205,0.5173,0.4473,0.4346
206,0.5142,0.4448,0.433
207,0.5107,0.4428,0.4309
208,0.508,0.44,0.4288
209,0.5048,0.4369,0.4271
210,0.5022,0.4349,0.4255
211,0.4992,0.4328,0.4237
212,0.4962,0.4309,0.4211
213,0.4931,0.4281,0.4188
214,0.4897,0.4255,0.4164
215,0.4878,0.423,0.4141
216,0.4856,0.4198,0.4115
217,0.4833,0.4175,0.4096
218,0.4805,0.4154,0.407
219,0.477,0.4132,0.4047
220,0.4754,0.4113,0.4019
221,0.4728,0.4099,0.3993
222,0.4697,0.4078,0.3973
223,0.4667,0.4059,0.3957
224,0.4647,0.4041,0.3938
225,0.4605,0.4013,0.3913
226,0.4572,0.3987,0.3885
227,0.4537,0.3961,0.3862
228,0.4515,0.394,0.3832
229,0.4489,0.392,0.3811
230,0.4468,0.3893,0.3792
231,0.4435,0.3875,0.3771
232,0.4405,0.3848,0.3743
233,0.4375,0.3825,0.3721
234,0.435,0.3793,0.3699
235,0.4328,0.3764,0.3671
236,0.43,0.3737,0.3648
237,0.427,0.3714,0.3632
238,0.4256,0.3694,0.3607
239,0.4228,0.367,0.3594
240,0.4198,0.3659,0.3572
241,0.4176,0.3634,0.3554
242,0.4146,0.3612,0.3538
243,0.4121,0.3587,0.3526
244,0.4103,0.3553,0.3507
245,0.4071,0.3538,0.3487
246,0.4044,0.3518,0.3461
247,0.4014,0.3495,0.3431
248,0.3996,0.3473,0.341
249,0.397,0.3453,0.3393
250,0.3938,0.3434,0.3375
251,0.3912,0.3418,0.3356
252,0.3876,0.3396,0.3337
253,0.3852,0.3373,0.3318
254,0.3828,0.3361,0.3302
255,0.3804,0.3337,0.3288
256,0.3783,0.3314,0.3271
257,0.3759,0.3292,0.3254
258,0.3733,0.3274,0.3237
259,0.3706,0.3255,0.3218
260,0.3677,0.3241,0.3195
261,0.3662,0.3226,0.318
262,0.3637,0.3208,0.3159
263,0.3618,0.319,0.3136
264,0.3596,0.3173,0.3119
265,0.3574,0.3157,0.3099
266,0.3552,0.3133,0.308
267,0.353,0.3119,0.3059
