,3000,5000
320,0.535,0.435
321,0.53,0.435
322,0.53,0.435
323,0.53,0.435
324,0.53,0.435
325,0.53,0.435
326,0.52,0.435
327,0.515,0.435
328,0.515,0.435
329,0.515,0.435
330,0.51,0.435
331,0.51,0.43
332,0.51,0.43
333,0.51,0.43
334,0.51,0.43
335,0.49,0.425
336,0.485,0.425
337,0.48,0.425
338,0.475,0.42
339,0.475,0.42
340,0.475,0.42
341,0.475,0.42
342,0.475,0.42
343,0.475,0.415
344,0.475,0.415
345,0.475,0.415
346,0.475,0.41
347,0.475,0.41
348,0.475,0.41
349,0.475,0.41
350,0.475,0.41
351,0.475,0.41
352,0.475,0.41
353,0.47,0.41
354,0.465,0.405
355,0.465,0.405
356,0.46,0.405
357,0.46,0.405
358,0.455,0.4
359,0.455,0.4
360,0.45,0.4
361,0.45,0.4
362,0.45,0.395
363,0.445,0.395
364,0.445,0.395
365,0.445,0.395
366,0.445,0.395
367,0.445,0.395
368,0.445,0.395
369,0.445,0.395
370,0.445,0.395
371,0.445,0.395
372,0.44,0.395
373,0.44,0.395
374,0.44,0.395
375,0.44,0.395
376,0.44,0.395
377,0.435,0.395
378,0.435,0.395
379,0.43,0.395
380,0.43,0.395
381,0.43,0.39
382,0.43,0.39
383,0.43,0.39
384,0.42,0.39
385,0.42,0.39
386,0.42,0.39
387,0.415,0.39
388,0.415,0.39
389,0.41,0.385
390,0.41,0.385
391,0.41,0.385
392,0.41,0.385
393,0.41,0.385
394,0.41,0.385
395,0.41,0.385
396,0.41,0.385
397,0.405,0.385
398,0.405,0.385
399,0.4,0.38
400,0.395,0.375
401,0.395,0.375
402,0.395,0.375
403,0.395,0.375
404,0.395,0.375
405,0.395,0.375
406,0.395,0.375
407,0.395,0.375
408,0.395,0.37
409,0.39,0.37
410,0.385,0.365
411,0.385,0.365
412,0.385,0.36
413,0.385,0.36
414,0.375,0.36
415,0.37,0.36
416,0.37,0.355
417,0.37,0.355
418,0.37,0.355
419,0.37,0.355
420,0.37,0.355
421,0.37,0.35
422,0.37,0.35
423,0.37,0.35
424,0.37,0.35
425,0.37,0.345
426,0.365,0.345
427,0.365,0.335
428,0.365,0.335
429,0.365,0.335
430,0.365,0.335
431,0.365,0.335
432,0.365,0.335
433,0.365,0.33
434,0.365,0.33
435,0.365,0.33
436,0.365,0.33
437,0.365,0.325
438,0.365,0.32
439,0.36,0.315
440,0.36,0.315
441,0.36,0.315
442,0.36,0.315
443,0.355,0.315
444,0.355,0.31
445,0.355,0.31
446,0.35,0.305
447,0.35,0.305
448,0.35,0.305
449,0.35,0.305
450,0.35,0.305
451,0.345,0.305
452,0.34,0.3
453,0.34,0.3
454,0.34,0.3
455,0.34,0.3
456,0.34,0.3
457,0.34,0.3
458,0.34,0.3
459,0.34,0.3
460,0.335,0.295
461,0.335,0.295
462,0.335,0.295
463,0.33,0.295
464,0.33,0.295
465,0.33,0.295
466,0.325,0.295
467,0.325,0.295
468,0.325,0.295
469,0.325,0.295
470,0.325,0.295
471,0.325,0.295
472,0.325,0.295
473,0.325,0.295
474,0.325,0.295
475,0.325,0.295
476,0.325,0.295
477,0.325,0.295
478,0.325,0.29
479,0.325,0.285
480,0.325,0.28
481,0.325,0.28
482,0.325,0.27
483,0.325,0.27
484,0.32,0.27
485,0.32,0.27
486,0.32,0.27
487,0.32,0.27
488,0.32,0.27
489,0.32,0.27
